Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
28,Male,37,19,0,2,Standard,Annual,151,11,No
33,Male,38,9,0,25,Standard,Quarterly,584,24,No
30,Male,40,7,9,0,Standard,Monthly,401,21,No
56,Male,59,3,10,14,Standard,Quarterly,265,4,Yes
61,Female,44,23,8,25,Basic,Annual,832,29,Yes
18,Female,39,13,6,25,Basic,Quarterly,463,18,Yes
57,Male,12,5,6,19,Standard,Monthly,535,26,Yes
22,Male,30,4,10,30,Basic,Annual,307,25,Yes
39,Female,3,24,3,20,Standard,Monthly,824,13,No
60,Female,20,26,8,9,Basic,Quarterly,230,19,No
45,Female,10,12,9,2,Premium,Annual,595,6,No
30,Male,52,5,3,4,Basic,Monthly,933,12,No
62,Female,52,7,8,20,Standard,Annual,657,2,Yes
37,Male,33,14,5,20,Premium,Monthly,861,5,Yes
43,Male,18,17,6,23,Basic,Monthly,730,15,No
45,Male,32,24,10,13,Premium,Monthly,398,18,No
61,Male,44,19,5,21,Standard,Annual,303,28,Yes
27,Male,30,18,0,4,Basic,Monthly,738,29,No
51,Female,41,15,7,19,Standard,Quarterly,724,20,Yes
28,Female,47,29,7,7,Standard,Annual,177,14,No
65,Female,4,5,0,11,Standard,Quarterly,697,18,No
55,Female,51,11,4,2,Basic,Monthly,927,28,No
55,Male,58,9,10,17,Premium,Monthly,264,10,Yes
49,Male,50,8,5,7,Standard,Monthly,835,11,No
45,Male,21,28,6,4,Basic,Monthly,928,6,No
55,Female,13,18,5,25,Standard,Annual,370,9,Yes
57,Female,59,14,8,26,Premium,Annual,945,16,Yes
52,Female,41,29,5,28,Basic,Annual,253,16,Yes
54,Female,7,18,4,25,Basic,Monthly,838,15,Yes
36,Male,11,20,8,28,Premium,Quarterly,477,12,No
63,Male,59,10,10,27,Premium,Quarterly,567,7,Yes
58,Male,55,20,0,23,Standard,Quarterly,926,13,No
54,Male,26,28,10,13,Basic,Annual,610,16,No
65,Female,57,21,7,6,Premium,Monthly,576,30,No
63,Male,39,18,3,3,Standard,Monthly,267,20,No
19,Male,55,8,8,20,Basic,Annual,494,12,Yes
49,Male,5,23,9,10,Basic,Annual,597,22,No
43,Female,21,6,3,20,Standard,Monthly,668,29,No
58,Male,24,3,9,20,Premium,Annual,547,17,Yes
59,Male,55,1,9,2,Premium,Annual,599,20,Yes
28,Female,21,5,3,24,Basic,Quarterly,699,26,No
48,Male,10,29,9,19,Standard,Quarterly,599,4,No
33,Female,18,1,5,12,Premium,Monthly,103,22,No
29,Female,35,30,1,22,Basic,Monthly,491,10,Yes
43,Male,7,4,9,14,Basic,Monthly,639,9,No
43,Male,52,16,4,0,Basic,Monthly,530,22,No
37,Female,7,7,8,30,Premium,Monthly,810,24,Yes
24,Male,1,14,10,17,Standard,Annual,377,30,No
51,Female,59,16,3,3,Premium,Annual,753,30,No
18,Male,12,18,0,25,Basic,Monthly,313,28,No
50,Female,20,23,2,28,Premium,Annual,525,30,No
41,Female,39,21,10,2,Standard,Quarterly,606,2,No
48,Male,10,1,1,15,Standard,Quarterly,271,2,No
57,Female,50,28,2,15,Premium,Annual,443,22,No
46,Male,7,18,10,9,Standard,Quarterly,534,2,No
52,Male,13,30,4,5,Basic,Annual,148,26,No
35,Female,41,1,3,13,Premium,Monthly,409,14,No
51,Male,19,18,2,23,Standard,Quarterly,142,9,No
35,Male,52,24,5,29,Premium,Annual,947,24,Yes
35,Female,4,25,8,21,Standard,Annual,662,29,No
19,Male,17,30,9,12,Basic,Annual,990,27,No
37,Male,29,12,6,0,Standard,Monthly,384,25,No
34,Male,8,8,3,4,Basic,Annual,558,15,No
27,Male,2,5,10,16,Standard,Annual,666,2,No
49,Female,50,16,0,27,Standard,Annual,384,8,Yes
43,Female,18,24,10,23,Premium,Quarterly,481,4,Yes
24,Female,49,2,2,0,Premium,Monthly,605,19,No
40,Female,26,11,2,26,Premium,Monthly,884,25,Yes
59,Male,30,22,2,29,Basic,Monthly,905,27,No
50,Female,24,3,1,15,Standard,Monthly,296,1,No
51,Female,48,24,9,7,Standard,Quarterly,125,19,No
23,Female,59,14,6,19,Premium,Monthly,443,30,Yes
33,Male,60,19,6,26,Standard,Monthly,565,12,Yes
50,Female,11,24,9,21,Basic,Annual,750,8,No
35,Male,42,27,0,9,Basic,Quarterly,662,28,No
26,Female,47,29,9,10,Standard,Annual,446,2,No
36,Female,4,9,10,28,Standard,Monthly,646,11,Yes
52,Male,8,26,9,13,Standard,Annual,975,16,No
34,Male,39,12,0,9,Premium,Monthly,559,24,No
51,Female,59,12,7,13,Premium,Quarterly,606,30,No
41,Male,3,8,9,25,Basic,Annual,869,17,No
58,Male,55,29,1,9,Basic,Quarterly,361,22,No
52,Male,28,18,3,9,Basic,Monthly,863,24,No
31,Female,12,30,5,27,Standard,Annual,562,6,No
62,Male,35,3,5,14,Standard,Monthly,121,26,Yes
47,Female,49,1,4,16,Basic,Monthly,849,1,No
40,Female,32,3,6,15,Standard,Annual,955,14,No
52,Male,25,12,10,28,Basic,Annual,905,16,Yes
21,Male,37,8,0,20,Standard,Annual,780,22,No
21,Female,58,10,5,25,Standard,Annual,512,10,Yes
37,Male,6,4,7,21,Premium,Monthly,182,28,No
56,Male,43,8,2,23,Premium,Annual,316,11,No
22,Female,32,25,4,8,Premium,Annual,789,6,No
18,Male,27,28,5,5,Standard,Annual,468,28,No
31,Male,27,8,7,7,Standard,Quarterly,605,27,No
52,Female,15,16,8,3,Standard,Annual,770,8,No
47,Male,37,9,2,22,Standard,Annual,678,12,No
29,Male,34,16,7,2,Basic,Quarterly,192,29,No
18,Female,18,19,3,22,Premium,Quarterly,391,30,Yes
32,Female,17,21,7,19,Basic,Quarterly,615,17,No
58,Female,33,18,9,10,Standard,Annual,508,26,No
41,Male,45,27,1,4,Basic,Annual,132,26,No
33,Male,6,23,1,23,Premium,Monthly,502,16,No
57,Male,15,1,5,5,Premium,Annual,851,3,Yes
28,Female,15,11,6,12,Basic,Monthly,273,29,No
33,Male,58,27,1,14,Standard,Quarterly,467,26,No
34,Female,39,4,2,24,Basic,Annual,318,12,Yes
64,Female,23,11,7,16,Standard,Monthly,930,20,No
37,Male,27,26,3,15,Premium,Annual,788,22,No
51,Male,27,11,4,15,Premium,Monthly,368,17,No
26,Female,13,29,10,27,Standard,Monthly,655,26,Yes
59,Female,4,29,10,21,Basic,Monthly,378,21,Yes
51,Female,29,16,9,16,Premium,Annual,593,17,Yes
33,Male,8,27,2,1,Standard,Monthly,755,21,No
20,Female,46,22,10,10,Basic,Quarterly,586,27,No
52,Male,58,4,10,27,Premium,Annual,533,3,Yes
40,Female,28,23,6,8,Basic,Quarterly,275,23,No
23,Male,15,9,0,2,Basic,Annual,618,27,No
29,Female,39,14,3,17,Basic,Monthly,578,25,No
23,Female,12,16,7,21,Basic,Monthly,752,3,Yes
52,Female,2,14,2,14,Premium,Quarterly,770,20,No
20,Male,7,9,4,14,Standard,Annual,601,27,No
54,Male,32,3,4,3,Standard,Quarterly,750,8,Yes
35,Male,56,11,0,17,Premium,Monthly,418,21,No
32,Male,14,2,5,25,Standard,Annual,483,6,No
52,Male,38,7,2,13,Basic,Monthly,437,19,No
50,Male,40,3,9,4,Basic,Quarterly,226,21,No
36,Male,44,17,8,7,Standard,Quarterly,923,25,No
63,Male,8,16,9,20,Premium,Quarterly,342,15,No
63,Female,31,22,2,19,Premium,Annual,297,5,No
65,Female,20,6,3,29,Premium,Quarterly,151,20,Yes
42,Male,34,8,8,7,Standard,Monthly,892,1,No
58,Male,6,19,6,14,Basic,Annual,391,27,No
56,Female,9,20,0,29,Basic,Annual,900,11,No
20,Female,50,21,1,4,Premium,Quarterly,589,20,No
37,Male,13,25,3,16,Premium,Monthly,318,6,No
58,Male,45,14,0,5,Basic,Annual,528,8,No
26,Female,15,26,0,20,Basic,Monthly,395,11,No
46,Male,5,16,3,8,Standard,Monthly,520,3,No
22,Female,33,7,10,11,Premium,Annual,723,6,No
44,Female,21,23,7,17,Premium,Annual,275,3,No
48,Female,54,10,4,29,Standard,Annual,428,28,Yes
45,Female,41,6,0,1,Standard,Annual,963,24,No
18,Male,15,30,9,10,Premium,Monthly,823,6,No
28,Female,33,25,8,6,Premium,Annual,118,22,No
50,Female,13,18,6,14,Standard,Annual,139,7,No
60,Female,24,10,0,5,Basic,Quarterly,322,26,No
35,Male,48,4,8,11,Basic,Annual,103,25,No
30,Female,2,2,4,4,Standard,Monthly,646,20,No
24,Female,57,9,10,26,Basic,Annual,134,2,Yes
56,Female,5,15,9,18,Premium,Monthly,946,13,No
46,Female,12,9,4,10,Standard,Quarterly,489,26,No
64,Female,21,30,4,28,Premium,Monthly,858,20,Yes
27,Male,17,2,1,25,Premium,Annual,216,17,Yes
57,Male,31,27,4,9,Basic,Monthly,431,17,No
48,Female,35,24,3,6,Standard,Monthly,131,27,No
40,Male,11,4,2,9,Standard,Monthly,635,27,No
46,Male,51,21,8,19,Premium,Annual,495,4,Yes
38,Male,47,21,9,6,Basic,Quarterly,621,21,No
48,Male,14,13,4,16,Basic,Monthly,518,6,No
25,Female,40,16,0,2,Basic,Annual,637,30,No
60,Male,11,9,4,19,Basic,Annual,705,6,No
43,Female,26,25,1,17,Premium,Monthly,510,27,No
58,Female,33,9,3,24,Basic,Annual,544,6,No
30,Male,56,12,3,6,Premium,Annual,282,5,No
21,Male,31,27,5,22,Premium,Monthly,386,23,Yes
43,Female,9,6,0,22,Basic,Annual,386,19,Yes
25,Male,8,7,2,26,Premium,Monthly,644,19,No
22,Female,32,12,8,14,Basic,Monthly,205,28,No
47,Female,4,7,2,27,Standard,Monthly,524,3,Yes
25,Female,50,18,4,17,Basic,Annual,435,11,No
61,Female,59,6,4,30,Standard,Annual,697,8,No
60,Male,47,17,0,8,Standard,Monthly,762,3,No
45,Male,47,8,7,9,Basic,Quarterly,409,18,No
59,Female,12,15,6,3,Standard,Monthly,401,18,No
35,Male,56,12,4,9,Basic,Quarterly,159,28,No
30,Female,41,3,6,14,Premium,Monthly,544,1,No
58,Female,23,18,1,14,Basic,Quarterly,300,29,No
46,Female,49,13,8,16,Standard,Annual,592,14,Yes
21,Male,58,23,10,1,Premium,Monthly,741,28,No
61,Female,30,17,0,21,Standard,Monthly,113,10,Yes
60,Male,51,11,1,5,Premium,Quarterly,268,1,No
20,Male,9,27,7,27,Standard,Quarterly,520,26,No
49,Male,27,23,10,8,Basic,Monthly,180,24,No
29,Female,36,23,9,16,Basic,Monthly,766,4,Yes
43,Male,25,17,10,6,Standard,Quarterly,101,15,No
49,Male,45,9,7,2,Standard,Monthly,986,15,No
48,Male,27,7,4,18,Standard,Annual,442,11,No
55,Female,18,27,10,24,Standard,Annual,553,1,No
35,Female,53,10,2,4,Basic,Quarterly,478,12,No
30,Female,52,4,9,9,Standard,Annual,522,22,No
53,Male,20,19,10,27,Standard,Quarterly,609,27,No
63,Female,49,16,2,13,Basic,Quarterly,341,25,No
45,Female,38,9,5,23,Standard,Monthly,782,21,Yes
35,Female,43,4,5,14,Standard,Quarterly,942,3,No
49,Male,1,24,4,21,Basic,Quarterly,335,16,No
48,Female,31,29,0,12,Standard,Monthly,109,20,No
27,Male,37,4,9,20,Basic,Quarterly,972,16,Yes
65,Female,6,10,8,9,Premium,Quarterly,959,14,No
20,Female,2,5,6,12,Premium,Monthly,815,20,No
58,Male,22,23,3,11,Basic,Annual,820,21,No
20,Female,6,22,0,27,Standard,Monthly,946,28,Yes
43,Male,56,3,6,18,Premium,Quarterly,674,14,Yes
23,Male,48,27,2,2,Standard,Quarterly,471,11,No
36,Female,14,22,2,15,Premium,Quarterly,325,22,No
35,Male,16,21,5,26,Standard,Annual,831,15,No
46,Female,31,14,8,9,Standard,Quarterly,801,5,No
60,Male,7,16,2,14,Standard,Annual,537,12,No
41,Male,28,16,5,10,Basic,Monthly,507,11,No
46,Male,26,10,2,13,Basic,Monthly,888,22,No
35,Female,16,21,5,6,Standard,Quarterly,721,14,No
44,Male,44,18,7,26,Standard,Annual,697,6,Yes
34,Female,57,27,3,6,Basic,Annual,271,17,No
36,Male,53,11,7,14,Premium,Monthly,649,21,No
20,Male,49,30,8,20,Standard,Monthly,837,13,Yes
36,Male,13,21,9,11,Basic,Monthly,950,30,No
24,Female,5,27,6,17,Standard,Quarterly,450,24,No
61,Female,22,22,8,16,Premium,Monthly,525,1,No
24,Female,58,25,5,7,Basic,Monthly,380,10,No
57,Male,31,23,7,24,Standard,Monthly,254,14,Yes
41,Female,4,10,6,1,Standard,Monthly,242,3,No
42,Female,10,11,4,21,Premium,Annual,190,2,Yes
27,Male,47,22,10,11,Premium,Annual,308,19,No
19,Female,10,29,0,25,Basic,Annual,959,9,No
22,Male,51,14,7,16,Premium,Quarterly,350,17,Yes
30,Male,7,21,1,27,Premium,Monthly,130,17,No
56,Male,10,17,9,5,Standard,Monthly,323,8,No
24,Male,59,30,7,2,Standard,Monthly,401,21,No
62,Female,57,25,4,12,Basic,Annual,703,29,No
43,Female,13,5,6,19,Basic,Monthly,223,4,No
33,Male,36,13,1,19,Standard,Quarterly,863,2,No
19,Male,49,25,10,7,Premium,Annual,319,22,No
34,Female,45,28,9,9,Premium,Monthly,301,17,No
49,Male,4,6,1,26,Basic,Monthly,517,20,No
36,Male,19,18,6,15,Basic,Quarterly,224,3,No
39,Female,54,26,10,27,Basic,Monthly,780,20,Yes
56,Male,19,19,5,24,Standard,Annual,158,15,No
26,Male,44,24,5,16,Standard,Quarterly,507,7,Yes
27,Male,57,17,4,3,Premium,Annual,386,6,No
37,Male,7,18,2,23,Standard,Monthly,345,12,No
50,Male,20,19,1,3,Premium,Monthly,324,30,No
24,Male,19,22,6,12,Standard,Quarterly,929,26,No
44,Female,29,23,0,12,Premium,Quarterly,969,1,No
20,Female,28,17,1,4,Premium,Annual,343,11,No
65,Female,27,14,8,14,Standard,Monthly,198,1,No
44,Male,35,11,0,18,Premium,Annual,352,27,No
38,Female,42,1,2,17,Basic,Quarterly,919,29,No
49,Male,46,12,0,0,Premium,Annual,757,18,No
35,Male,54,24,0,1,Premium,Annual,278,8,No
26,Female,4,14,9,17,Standard,Quarterly,986,24,No
18,Male,31,11,0,30,Standard,Quarterly,668,11,No
34,Female,54,22,6,9,Standard,Annual,890,18,No
57,Female,23,20,5,25,Basic,Monthly,613,30,Yes
31,Female,12,8,7,11,Premium,Quarterly,455,15,No
61,Male,33,28,10,18,Basic,Annual,446,23,Yes
26,Female,12,15,8,13,Basic,Quarterly,144,25,No
59,Female,11,3,3,1,Standard,Quarterly,419,5,No
38,Male,40,20,7,17,Standard,Monthly,204,6,Yes
53,Female,28,19,6,1,Premium,Monthly,852,27,No
20,Female,20,6,9,12,Standard,Annual,602,18,No
59,Female,41,24,5,2,Standard,Quarterly,791,24,No
44,Male,11,19,3,24,Basic,Quarterly,306,11,No
32,Female,26,19,7,12,Premium,Annual,156,2,No
55,Male,32,27,2,2,Basic,Monthly,873,6,No
46,Female,53,12,0,1,Premium,Annual,536,19,No
65,Female,38,5,4,28,Basic,Quarterly,201,29,Yes
28,Male,11,26,5,3,Standard,Monthly,942,3,No
20,Male,45,3,10,29,Premium,Quarterly,785,26,Yes
24,Female,44,1,4,27,Premium,Annual,823,12,No
29,Male,56,13,1,29,Premium,Annual,715,12,No
58,Female,60,24,8,13,Premium,Monthly,768,13,No
51,Male,54,15,0,8,Premium,Annual,510,19,No
23,Male,38,23,4,3,Standard,Quarterly,451,10,No
48,Female,23,13,8,15,Premium,Annual,427,23,No
23,Female,22,28,6,4,Standard,Quarterly,854,5,No
38,Male,8,30,0,3,Premium,Monthly,606,8,No
27,Female,3,4,7,14,Premium,Monthly,830,5,No
22,Male,5,22,5,27,Standard,Annual,489,14,No
52,Male,12,19,5,22,Premium,Monthly,867,21,No
25,Male,22,30,6,21,Basic,Quarterly,182,7,No
58,Female,56,24,6,28,Basic,Annual,875,21,Yes
44,Female,59,1,3,29,Basic,Quarterly,881,4,No
55,Male,4,26,9,30,Basic,Quarterly,347,28,No
23,Female,55,7,7,23,Standard,Annual,888,8,Yes
47,Male,33,14,3,20,Basic,Monthly,297,9,No
44,Male,40,5,8,8,Basic,Monthly,454,30,No
53,Male,38,21,3,9,Premium,Annual,554,18,No
28,Female,9,17,0,0,Basic,Monthly,332,18,No
29,Male,25,6,9,15,Premium,Quarterly,939,22,No
34,Female,56,8,2,0,Premium,Monthly,945,15,No
21,Male,52,10,2,0,Premium,Quarterly,392,24,No
31,Female,59,26,7,19,Premium,Annual,148,8,Yes
30,Male,44,4,10,23,Basic,Quarterly,563,25,Yes
35,Male,42,19,10,21,Basic,Quarterly,674,7,Yes
47,Female,23,16,2,7,Standard,Monthly,551,17,No
29,Female,28,14,3,2,Standard,Monthly,277,14,No
46,Male,7,26,0,4,Premium,Monthly,965,3,No
49,Female,7,11,8,7,Basic,Quarterly,806,17,No
33,Female,40,11,6,15,Standard,Monthly,971,7,No
24,Male,13,7,2,18,Basic,Quarterly,719,16,No
31,Female,29,17,6,13,Standard,Quarterly,753,6,No
38,Male,59,20,4,21,Standard,Annual,421,27,No
53,Male,52,1,6,21,Basic,Monthly,906,30,Yes
42,Female,36,8,5,8,Standard,Monthly,584,1,No
37,Female,42,30,4,19,Premium,Annual,315,21,No
56,Male,13,1,0,23,Basic,Quarterly,976,20,No
22,Male,15,20,8,23,Standard,Monthly,133,23,No
43,Female,48,9,8,6,Basic,Quarterly,872,2,No
48,Female,4,2,5,17,Basic,Monthly,851,27,Yes
31,Female,7,2,4,29,Standard,Annual,293,14,Yes
22,Female,6,23,6,5,Premium,Annual,402,26,No
65,Female,26,26,3,0,Premium,Monthly,267,30,No
65,Female,2,3,8,30,Premium,Annual,782,8,Yes
28,Female,5,28,5,12,Basic,Annual,451,22,No
36,Female,26,6,4,2,Basic,Annual,841,2,No
29,Female,40,5,2,20,Premium,Quarterly,749,29,No
43,Male,19,2,1,25,Basic,Monthly,263,5,No
53,Female,59,1,5,8,Standard,Monthly,761,18,Yes
32,Female,40,10,1,7,Premium,Monthly,508,14,No
24,Female,38,19,7,1,Basic,Annual,533,18,No
57,Female,20,23,1,26,Basic,Monthly,356,6,Yes
57,Female,9,7,1,27,Standard,Annual,980,6,No
56,Male,51,11,8,11,Premium,Quarterly,658,25,No
27,Male,30,5,5,0,Standard,Quarterly,813,8,No
21,Male,53,1,3,5,Standard,Annual,760,23,No
28,Male,36,27,3,24,Premium,Quarterly,761,4,No
47,Male,56,17,6,10,Premium,Monthly,925,6,No
42,Female,25,4,9,7,Standard,Monthly,664,10,No
34,Female,7,21,2,2,Standard,Annual,722,25,No
47,Male,30,13,8,22,Standard,Annual,801,13,Yes
24,Female,21,11,2,19,Basic,Monthly,978,15,No
51,Male,24,20,2,8,Basic,Annual,338,7,No
47,Male,25,3,8,1,Basic,Annual,154,3,No
60,Female,51,15,2,12,Premium,Annual,881,24,No
53,Male,36,28,5,3,Standard,Monthly,109,13,No
57,Male,38,15,5,21,Premium,Quarterly,785,2,Yes
44,Male,8,26,8,28,Standard,Quarterly,416,1,No
58,Female,42,29,9,28,Standard,Monthly,257,11,Yes
32,Male,34,30,10,25,Premium,Annual,489,29,Yes
35,Female,53,16,4,13,Basic,Annual,959,19,No
28,Male,58,11,10,0,Basic,Monthly,959,16,No
60,Female,60,1,1,24,Basic,Quarterly,627,26,No
51,Male,29,8,7,26,Standard,Quarterly,512,30,Yes
47,Male,31,29,3,8,Basic,Monthly,566,15,No
25,Male,23,28,1,9,Premium,Annual,586,11,No
52,Female,51,25,1,0,Basic,Monthly,583,1,No
54,Female,20,19,7,3,Premium,Annual,591,16,No
50,Male,40,11,9,7,Basic,Monthly,603,6,No
19,Male,16,15,1,26,Standard,Quarterly,968,5,No
39,Female,35,10,6,26,Premium,Quarterly,130,7,Yes
28,Male,41,17,6,29,Premium,Monthly,203,24,Yes
36,Male,21,21,0,17,Standard,Quarterly,950,11,No
30,Female,17,17,4,11,Basic,Annual,543,7,No
39,Male,15,4,7,10,Basic,Annual,921,4,No
38,Male,31,1,7,20,Basic,Annual,608,22,Yes
60,Female,27,24,0,3,Premium,Monthly,826,19,No
53,Male,48,8,4,28,Standard,Monthly,808,6,No
35,Female,53,10,6,13,Premium,Monthly,217,17,No
44,Female,11,29,10,1,Basic,Annual,971,25,No
26,Female,17,27,1,20,Premium,Quarterly,167,5,No
53,Male,41,1,4,9,Premium,Quarterly,577,28,Yes
50,Male,45,27,6,25,Standard,Quarterly,789,16,Yes
31,Male,48,21,4,6,Standard,Annual,112,9,No
19,Female,36,21,10,22,Basic,Quarterly,374,4,Yes
18,Female,8,23,1,3,Basic,Quarterly,445,13,No
20,Male,11,10,7,25,Basic,Annual,983,11,No
39,Female,38,19,2,10,Standard,Annual,735,21,No
25,Male,16,16,0,26,Standard,Quarterly,979,10,No
57,Male,37,15,0,29,Premium,Monthly,377,3,No
54,Female,44,18,9,18,Premium,Monthly,857,27,Yes
64,Male,36,4,8,29,Premium,Annual,288,15,Yes
41,Female,41,12,1,14,Basic,Monthly,801,7,No
34,Male,30,7,5,28,Standard,Monthly,158,13,Yes
51,Male,60,9,9,25,Premium,Monthly,947,9,Yes
56,Male,9,17,10,14,Basic,Quarterly,768,19,No
45,Male,55,4,0,25,Basic,Quarterly,167,25,No
38,Male,59,2,3,1,Basic,Quarterly,974,22,No
18,Male,18,1,5,28,Standard,Annual,973,7,No
33,Male,50,5,6,1,Basic,Annual,893,21,No
40,Male,17,30,6,10,Standard,Monthly,526,1,No
25,Female,30,23,8,2,Basic,Monthly,795,24,No
21,Female,40,4,1,4,Standard,Quarterly,112,23,No
52,Female,41,6,10,5,Standard,Annual,609,2,No
35,Female,19,2,2,5,Basic,Monthly,411,13,No
34,Male,54,10,6,13,Premium,Quarterly,809,26,No
27,Male,45,5,8,7,Premium,Quarterly,602,16,No
37,Male,16,24,9,12,Basic,Quarterly,962,16,No
57,Male,28,22,10,17,Basic,Annual,624,15,Yes
20,Male,41,9,7,8,Basic,Annual,839,1,No
51,Female,4,4,5,14,Standard,Annual,199,1,Yes
27,Male,51,19,5,21,Basic,Annual,713,11,Yes
56,Male,46,30,4,10,Premium,Monthly,904,11,No
36,Female,25,30,10,14,Standard,Annual,995,11,No
43,Female,33,22,8,0,Basic,Annual,681,5,No
18,Male,4,17,3,27,Premium,Annual,271,27,No
52,Female,42,1,7,7,Premium,Monthly,943,29,Yes
59,Female,46,10,2,26,Basic,Monthly,979,21,Yes
63,Male,35,5,10,16,Standard,Monthly,830,6,Yes
25,Female,14,14,10,6,Premium,Monthly,860,22,No
48,Female,42,18,3,13,Standard,Monthly,156,1,No
62,Female,59,19,2,2,Premium,Quarterly,804,16,No
32,Female,7,23,4,5,Premium,Annual,770,25,No
28,Male,7,30,7,3,Standard,Monthly,593,1,No
63,Male,16,10,8,18,Premium,Annual,699,10,No
38,Male,50,12,4,18,Standard,Annual,552,15,No
37,Female,15,8,10,29,Premium,Annual,603,1,No
33,Male,20,16,5,1,Premium,Annual,978,24,No
32,Female,20,23,7,11,Basic,Monthly,334,6,No
44,Female,23,10,5,17,Premium,Monthly,496,5,No
48,Male,17,12,3,19,Basic,Annual,521,24,No
55,Female,35,8,7,10,Premium,Quarterly,368,18,No
26,Female,41,27,2,12,Premium,Annual,742,12,No
56,Female,36,9,2,29,Premium,Quarterly,184,29,Yes
48,Female,59,7,1,28,Standard,Quarterly,179,24,Yes
19,Male,19,24,5,29,Premium,Quarterly,558,18,No
29,Female,15,9,7,9,Standard,Monthly,622,11,No
37,Female,2,3,3,24,Premium,Quarterly,628,19,No
52,Female,37,28,0,25,Premium,Annual,394,20,Yes
25,Male,54,2,1,16,Premium,Quarterly,511,27,No
48,Male,59,4,7,28,Premium,Annual,118,13,Yes
61,Male,13,29,0,8,Basic,Quarterly,788,18,No
29,Female,23,1,5,3,Standard,Quarterly,759,11,No
39,Male,52,21,2,12,Premium,Quarterly,992,13,No
33,Male,19,5,9,15,Premium,Monthly,931,4,No
22,Male,28,5,8,13,Premium,Quarterly,855,11,No
28,Male,29,30,9,20,Standard,Annual,437,3,Yes
41,Female,34,3,8,19,Basic,Monthly,119,17,Yes
29,Female,6,17,3,10,Basic,Annual,162,23,No
55,Male,58,17,8,16,Basic,Monthly,591,29,Yes
49,Male,29,23,8,29,Basic,Quarterly,931,6,Yes
64,Female,14,30,6,15,Standard,Monthly,477,27,No
29,Male,54,28,7,15,Standard,Monthly,285,1,No
52,Female,43,23,6,27,Standard,Annual,295,5,Yes
34,Female,18,13,9,11,Basic,Quarterly,709,18,No
42,Female,22,20,3,14,Basic,Quarterly,804,2,No
53,Female,8,26,3,1,Premium,Quarterly,590,10,No
31,Male,38,17,5,15,Basic,Annual,344,15,No
45,Female,47,28,4,4,Standard,Quarterly,573,2,No
38,Male,45,16,3,14,Standard,Annual,944,12,No
38,Male,56,19,0,24,Basic,Annual,446,11,No
65,Male,20,26,5,27,Basic,Monthly,499,22,No
54,Female,3,12,8,24,Premium,Monthly,439,14,Yes
64,Male,45,1,5,28,Basic,Annual,293,23,Yes
20,Male,30,24,1,4,Basic,Monthly,895,13,No
51,Male,22,13,1,11,Standard,Monthly,546,16,No
51,Male,23,29,6,19,Premium,Quarterly,827,14,No
50,Female,21,26,10,27,Basic,Annual,960,7,No
18,Female,16,11,10,5,Standard,Annual,749,18,No
30,Female,48,22,5,21,Standard,Annual,698,20,Yes
18,Male,15,27,0,25,Standard,Monthly,398,15,No
50,Male,18,20,3,26,Premium,Annual,599,26,No
45,Female,5,1,4,17,Basic,Quarterly,144,25,Yes
62,Female,22,4,6,29,Standard,Monthly,340,1,Yes
44,Male,20,20,4,11,Premium,Annual,689,20,No
30,Male,24,11,0,2,Premium,Monthly,398,18,No
22,Male,10,7,10,30,Premium,Quarterly,343,10,No
35,Male,57,21,6,7,Standard,Monthly,443,19,No
62,Female,58,30,10,28,Standard,Annual,145,24,Yes
57,Male,41,30,7,30,Premium,Annual,959,9,Yes
44,Male,30,10,10,27,Standard,Annual,653,29,Yes
35,Female,27,27,0,12,Standard,Monthly,419,15,No
22,Female,44,15,0,30,Premium,Monthly,398,20,Yes
23,Male,41,7,6,9,Premium,Quarterly,580,21,No
60,Female,31,16,4,24,Standard,Quarterly,686,8,No
47,Male,19,19,4,0,Premium,Annual,991,22,No
52,Male,32,11,0,16,Premium,Quarterly,196,22,No
21,Male,15,1,10,20,Standard,Monthly,150,5,No
55,Male,14,7,9,13,Basic,Monthly,490,18,No
55,Female,49,9,3,5,Basic,Annual,934,24,No
63,Female,47,27,7,16,Standard,Annual,633,14,Yes
24,Male,25,16,3,5,Standard,Monthly,431,26,No
63,Female,44,28,5,30,Basic,Quarterly,458,19,Yes
57,Male,39,26,7,23,Premium,Monthly,160,20,Yes
34,Female,45,16,9,15,Premium,Quarterly,582,11,No
38,Female,16,24,5,30,Premium,Quarterly,704,7,No
24,Female,57,22,10,22,Basic,Annual,258,22,Yes
54,Female,39,22,2,29,Basic,Annual,155,13,Yes
32,Female,52,23,7,27,Premium,Annual,394,7,Yes
38,Female,28,26,0,24,Standard,Quarterly,757,10,No
26,Female,20,10,8,14,Basic,Annual,607,23,No
21,Female,25,18,4,23,Premium,Annual,584,23,No
63,Female,14,15,10,2,Premium,Quarterly,333,12,No
54,Male,16,29,0,30,Basic,Quarterly,832,21,No
36,Male,47,2,1,1,Premium,Monthly,420,26,No
37,Female,55,11,2,14,Basic,Monthly,165,7,No
30,Female,35,23,9,26,Basic,Annual,913,30,Yes
36,Female,17,9,3,29,Standard,Quarterly,771,30,No
65,Male,60,16,6,1,Standard,Monthly,117,9,No
55,Female,26,12,4,5,Basic,Annual,115,27,No
61,Female,7,22,7,21,Premium,Annual,456,28,Yes
